ORF,Batch,Gene,GO_process,GO_function,GO_component,deletion_phenotype,result_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,significant_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,rank_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,result_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,significant_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,rank_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,result_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,result_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20
YDR348C,chr4_7,YDR348C,biological_process unknown,molecular_function unknown,bud neck,viable,0.856033,0,153,1.29454,0,77,1.25126,0,205,1.03101,0,284
YOL018C,chr15_5,TLG2,vesicle fusion,v-SNARE activity*,Golgi trans face*,viable,0.854935,0,154,0.996433,0,133,0.490488,0,615,0.242527,0,986
YGR283C,chr00_3,YGR283C,biological_process unknown,molecular_function unknown,nucleolus,viable,0.845837,0,155,0.106003,0,1998,0.733197,0,425,0.114627,0,1212
YPL045W,chr16_3,VPS16,protein-vacuolar targeting*,molecular_function unknown,vacuolar membrane (sensu Fungi)*,viable,0.845378,0,156,0.307655,0,964,0,0,1990,0,0,1990
YLR374C,chr12_5,YLR374C,NA,NA,NA,viable,0.844566,0,157,1.34543,0,73,0.865165,0,348,2.60276,0,48
YKL135C,chr11_2,APL2,vesicle-mediated transport,clathrin binding,AP-1 adaptor complex,viable,0.835669,0,158,0.387369,0,722,0.771297,0,399,0.590197,0,569
YKR105C,chr00_4,YKR105C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.829951,0,159,0.143716,0,1774,-0.355809,0,3367,-0.49064,0,3821
YKR006C,chr11_3,MRPL13,protein biosynthesis,structural constituent of ribosome,mitochondrial large ribosomal subunit,viable,0.829467,0,160,0.340468,0,851,2.47082,0,48,1.70888,0,98
YKR077W,chr00_3,YKR077W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.824745,0,161,0.217767,0,1383,-0.216456,0,2749,0.285337,0,911
YPR030W,chr16_4,CSR2,cell wall organization and biogenesis*,molecular_function unknown,nucleus,viable,0.819532,0,162,0.541886,0,411,-0.265913,0,2962,-0.226909,0,2750
YIR028W,chr00_3,DAL4,allantoin transport,allantoin permease activity,membrane,viable,0.81604,0,163,0.069663,0,2217,-0.123641,0,2388,-0.367935,0,3323
YML013W,chr13_2,SEL1,protein secretion*,molecular_function unknown,endoplasmic reticulum,viable,0.81586,0,164,0.97229,0,140,0.851084,0,356,0.952704,0,325
YBL083C,chr2_1,YBL083C,NA,NA,NA,viable,0.814126,0,165,1.06996,0,119,0.600528,0,522,1.10412,0,253
YPL047W,chr16_3,SGF11,biological_process unknown,molecular_function unknown,nucleus,viable,0.81193,0,166,0.716064,0,248,0.204821,0,1017,0.247962,0,975
YJL169W,chr10_1,YJL169W,NA,NA,NA,viable,0.811904,0,167,1.02385,0,127,1.60586,0,121,1.07307,0,263
YHL005C,chr8_1,YHL005C,NA,NA,NA,viable,0.811722,0,168,0.416258,0,630,0.903047,0,334,1.18821,0,212
YHR031C,chr8_1,RRM3,DNA replication,DNA helicase activity*,nuclear telomeric heterochromatin,viable,0.81152,0,169,0.415717,0,633,1.35458,0,179,1.77847,0,88
YDR474C,chr4_8,JIP4_p,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.804271,0,170,0.681944,0,267,0.058591,0,1318,-0.079872,0,2255
YOR364W,chr15_4,YOR364W_1,NA,NA,NA,viable,0.800836,0,171,0.327054,0,897,0,0,1984,0,0,1984
YDR508C,chr4_8,GNP1,amino acid transport,amino acid transporter activity*,plasma membrane,viable,0.797258,0,172,0.703335,0,253,-0.065258,0,2210,0.072492,0,1303
YPL164C,chr16_2,MLH3,meiotic recombination*,molecular_function unknown,nucleus,viable,0.795969,0,173,0.533706,0,426,-0.450136,0,3792,-0.553184,0,4080
YER135C,chr00_5,YER135C,NA,NA,NA,viable,0.78752,0,174,0.292459,0,1032,-0.570677,0,4310,-0.483606,0,3787
YDL242W,chr4_3,YDL242W,NA,NA,NA,viable,0.786441,0,175,0.498981,0,478,-0.217517,0,2755,-0.211782,0,2698
YBR112C,chr00_16a,CYC8,negative regulation of transcription,transcription coactivator activity*,nucleus,viable,0.782725,0,176,0.812515,0,203,0,0,1498,0,0,1498
YDL070W,chr4_1,BDF2,biological_process unknown,molecular_function unknown,nucleus,viable,0.777063,0,177,0.456891,0,555,0.952464,0,310,1.28804,0,178
YDL091C,chr4_1,UBX3,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.77664,0,178,0.3603,0,792,-0.453183,0,3810,-0.571837,0,4152
YHR030C,chr8_1,SLT2,cell wall organization and biogenesis*,MAP kinase activity,cytoplasm*,viable,0.774606,0,179,0.638032,0,314,0.661448,0,478,0.521606,0,637
YDR532C,chr4_8,YDR532C,biological_process unknown,molecular_function unknown,spindle pole body,viable,0.76776,0,180,-0.5193,0,4236,0,0,1621,0,0,1621
YLR015W,chr12_1,BRE2,chromatin silencing at telomere*,chromatin binding*,nuclear chromatin*,viable,0.763535,0,181,0.362505,0,783,0.300328,0,867,0.49359,0,665
YIL005W,chr9_1,EPS1,protein-ER retention,protein disulfide isomerase activity,endoplasmic reticulum membrane,viable,0.762039,0,182,0.884655,0,174,2.65248,0,44,3.79899,1,20
YPR028W,chr16_4,YOP1,membrane organization and biogenesis,molecular_function unknown,membrane,viable,0.761569,0,183,-0.203136,0,3593,-0.504311,0,4066,-0.491342,0,3825
YPR090W,chr16_4,YPR089W_p1,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.756733,0,184,0.342897,0,846,-0.406899,0,3616,-0.347373,0,3228
YMR121C,chr00_9,RPL15B,protein biosynthesis,structural constituent of ribosome*,cytosolic large ribosomal subunit (sensu Eukarya),viable,0.756288,0,185,1.10054,0,112,2.28384,0,56,1.41188,0,148
YDL241W,chr4_3,YDL241W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.752173,0,186,0.685753,0,264,0.130165,0,1166,-0.002291,0,2041
YDR300C,chr4_6,PRO1,proline biosynthesis,glutamate 5-kinase activity,cytoplasm,viable,0.749567,0,187,1.34959,0,72,0,0,1592,0,0,1592
YGR181W,chr7_5,TIM13,mitochondrial inner membrane protein import,protein transporter activity,mitochondrial intermembrane space*,viable,0.747543,0,188,0.483163,0,504,-0.252468,0,2902,0.615842,0,548
YGL087C,chr7_1,MMS2,ubiquitin-dependent protein catabolism*,ubiquitin conjugating enzyme activity,cytoplasm*,viable,0.745301,0,189,0.840203,0,192,4.20828,1,16,3.28438,1,28
YPL107W,chr16_2,YPL107W,biological_process unknown,molecular_function unknown,mitochondrion,viable,0.744439,0,190,0.180127,0,1583,-0.472943,0,3909,-0.484538,0,3793
YKL176C,chr11_2,LST4,vesicle-mediated transport*,protein transporter activity,vesicle coat,viable,0.743986,0,191,0.37192,0,758,2.74269,0,39,0.996948,0,301
YDR389W,chr4_7,SAC7,small GTPase mediated signal transduction*,signal transducer activity*,intracellular,viable,0.7436,0,192,1.11064,0,108,1.26322,0,199,1.89989,0,82
YDL095W,chr4_1,PMT1,O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity,endoplasmic reticulum membrane,viable,0.740831,0,193,0.397464,0,688,-0.479821,0,3948,0.277267,0,923
YER145C,chr00_5,FTR1,high affinity iron ion transport,iron ion transporter activity,plasma membrane,viable,0.73824,0,194,0.649728,0,305,-0.126887,0,2405,-0.072557,0,2224
YLR204W,chr12_3,QRI5,biological_process unknown,molecular_function unknown,mitochondrion,viable,0.737904,0,195,0.093679,0,2061,0.610135,0,513,0.372443,0,797
YDR096W,chr4_4,GIS1,phospholipid metabolism,transcription factor activity,nucleus,viable,0.736277,0,196,-0.203377,0,3595,-0.274996,0,2993,-0.383263,0,3387
YHL044W,chr8_1,YHL044W,biological_process unknown,molecular_function unknown,plasma membrane,viable,0.731604,0,197,0.591009,0,352,1.10514,0,247,-0.133924,0,2436
YOL054W,chr15_5,PSH1,RNA elongation from Pol II promoter,molecular_function unknown,nucleus,viable,0.728616,0,198,0.549515,0,405,1.66899,0,109,1.13422,0,237
YKL071W,chr11_1,YKL071W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.727885,0,199,0.229014,0,1315,-7.14e-4,0,2031,0.12173,0,1199
YDR049W,chr4_4,YDR049W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.727711,0,200,0.311918,0,946,1.50742,0,143,0.900209,0,347
YKL179C,chr11_2,COY1,Golgi vesicle transport,molecular_function unknown,Golgi membrane,viable,0.726528,0,201,0.565508,0,388,-0.401443,0,3588,0.363498,0,810
YGL084C,chr7_1,GUP1,glycerol catabolism*,glycerol transporter activity,membrane,viable,0.725548,0,202,0.89136,0,170,-1.42034,0,4755,-0.412539,0,3506
YPR071W,chr16_4,YPR071W,biological_process unknown,molecular_function unknown,integral to membrane,viable,0.724026,0,203,0.157193,0,1700,-0.610172,0,4420,-0.452849,0,3666
YGR097W,chr7_4,ASK10,response to oxidative stress*,transcription regulator activity,cytoplasm*,viable,0.712304,0,204,0.069957,0,2215,-0.1872,0,2631,-0.081391,0,2257
YDR304C,chr4_6,CPR5,biological_process unknown,peptidyl-prolyl cis-trans isomerase activity,cytoplasm*,viable,0.7123,0,205,-0.399273,0,4056,-0.023138,0,2091,0.209081,0,1042
YIL009C-A,chr00_3,EST3,telomerase-dependent telomere maintenance,telomerase activity,nucleus*,viable,0.709988,0,206,-0.386686,0,4029,1.39152,0,162,1.26664,0,182
YOL001W,chr15_5,PHO80,regulation of phosphate metabolism,cyclin-dependent protein kinase regulator activity,cyclin-dependent protein kinase holoenzyme complex,viable,0.708679,0,207,0.986072,0,137,3.67804,1,23,3.2128,1,30
YJL168C,chr10_1,SET2,"regulation of transcription, DNA-dependent*",histone-lysine N-methyltransferase activity,nucleus,viable,0.70767,0,208,0.674507,0,278,0.219121,0,994,1.91583,0,80
YNR050C,chr00_4,LYS9,"lysine biosynthesis, aminoadipic pathway","saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity",cytoplasm,viable,0.707274,0,209,0.148654,0,1754,0.938305,0,317,0.411161,0,746
YBR220C,chr2_4,YBR220C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.707033,0,210,0.47106,0,523,0.42359,0,706,0.316928,0,868
YIL041W,chr9_1,GVP36,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.706698,0,211,-0.199417,0,3586,0.739408,0,419,0.882284,0,360
YIR027C,chr00_3,DAL1,allantoin catabolism,allantoinase activity,intracellular,viable,0.704936,0,212,-0.27615,0,3796,0.051686,0,1339,-0.127113,0,2411
YPL180W,chr16_2,TCO89,glycerol metabolism,molecular_function unknown,plasma membrane*,viable,0.703677,0,213,0.20732,0,1432,1.53648,0,138,1.50769,0,127
YIL098C,chr9_2,FMC1,protein complex assembly,molecular_function unknown,mitochondrion,viable,0.70296,0,214,0.792806,0,211,-1.16585,0,4738,-1.33632,0,4748
YDR121W,chr4_4,DPB4,chromatin silencing at telomere*,epsilon DNA polymerase activity,chromatin accessibility complex*,viable,0.700549,0,215,0.365329,0,774,-0.34345,0,3297,-0.647918,0,4399
YPL269W,chr16_1,KAR9,nuclear migration (sensu Fungi),molecular_function unknown,shmoo tip*,viable,0.697694,0,216,0.657831,0,291,1.54745,0,134,2.41384,0,56
YDL194W,chr00_16b,SNF3,signal transduction*,receptor activity*,plasma membrane,viable,0.694833,0,217,0.684982,0,265,1.40065,0,158,3.34282,1,25
YLR337C,chr12_5,VRP1,actin filament organization*,actin binding,actin cortical patch (sensu Fungi),viable,0.694782,0,218,1.61765,0,51,0.326772,0,827,0.632316,0,529
YJL192C,chr10_1,SOP4,ER to Golgi transport,molecular_function unknown,endoplasmic reticulum*,viable,0.694341,0,219,1.4059,0,67,1.31886,0,187,1.91929,0,79
YPR065W,chr16_4,ROX1,negative regulation of transcription from Pol II promoter,specific transcriptional repressor activity*,nuclear chromosome,viable,0.688373,0,220,0.159757,0,1687,-0.504778,0,4067,-0.612197,0,4301
YDR276C,chr4_6,PMP3,cation transport,molecular_function unknown,plasma membrane,viable,0.687994,0,221,0.286963,0,1051,0.660807,0,479,-0.209784,0,2692
YNR066C,chr00_4,YNR066C,biological_process unknown,molecular_function unknown,membrane fraction,viable,0.686785,0,222,0.255893,0,1181,-0.319026,0,3187,-0.452169,0,3664
YOL008W,chr15_5,YOL008W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.684757,0,223,-0.025506,0,2847,-0.168787,0,2549,-0.278406,0,2959
YPR009W,chr16_4,SUT2,regulation of transcription from Pol II promoter*,specific RNA polymerase II transcription factor activity,nucleus,viable,0.684315,0,224,0.456626,0,556,-0.433069,0,3726,-0.293933,0,3018
YOL090W,chr00_6,MSH2,DNA recombination*,ATPase activity*,nuclear chromosome,viable,0.680801,0,225,-0.184249,0,3524,0.737059,0,423,0.656632,0,511
YOL067C,chr15_5,RTG1,transcription initiation from Pol II promoter*,transcription coactivator activity,cytoplasm*,viable,0.679115,0,226,0.282786,0,1064,0.190461,0,1050,0.073597,0,1300
YOL024W,chr15_5,YOL024W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.67782,0,227,-0.188765,0,3541,-0.117504,0,2367,-0.243393,0,2817
YIL139C,chr9_2,REV7,DNA repair*,zeta DNA polymerase activity,nucleus,viable,0.677363,0,228,0.367933,0,765,1.57916,0,124,1.37836,0,155
YKL200C,chr11_3,NA,NA,NA,NA,NA,0.677132,0,229,0.107569,0,1989,0.420466,0,713,0.365022,0,807
YIL050W,chr9_1,PCL7,regulation of glycogen biosynthesis*,cyclin-dependent protein kinase regulator activity,cyclin-dependent protein kinase holoenzyme complex,viable,0.673433,0,230,0.329886,0,885,-0.213193,0,2729,-0.395807,0,3431
YIL165C,chr9_2,YIL165C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.673326,0,231,0.223896,0,1341,-0.21111,0,2723,-0.035471,0,2125
YPR061C,chr16_4,JID1,biological_process unknown,molecular_function unknown,mitochondrion,viable,0.672227,0,232,0.990613,0,135,0.330978,0,820,0.631529,0,531
YCR044C,chr00_1,PER1,response to unfolded protein*,molecular_function unknown,vacuolar membrane (sensu Fungi),viable,0.672018,0,233,1.20095,0,91,0,0,1529,0,0,1529
YNR034W,chr14_4,SOL1,tRNA processing,6-phosphogluconolactonase activity,cytoplasm*,viable,0.668466,0,234,0.186968,0,1543,0.506417,0,599,0.39586,0,764
YDR459C,chr4_8,YDR459C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.668365,0,235,0.343168,0,844,-0.387884,0,3532,-0.549116,0,4067
YGL170C,chr7_2,SPO74,sporulation (sensu Fungi),structural molecule activity,spindle pole body,viable,0.668337,0,236,0.002631,0,2608,-0.443493,0,3759,-0.398167,0,3443
YLL040C,chr12_1,VPS13,late endosome to vacuole transport*,molecular_function unknown,extrinsic to membrane,viable,0.658543,0,237,0.983058,0,138,0.438358,0,683,0.853818,0,380
YKR041W,chr00_14,YKR041W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.658439,0,238,0.57314,0,376,0.856446,0,355,0.105228,0,1237
YKR014C,chr11_3,YPT52,protein-vacuolar targeting*,GTPase activity,late endosome,viable,0.656722,0,239,0.154181,0,1719,0.275761,0,901,-0.001324,0,2037
YER167W,chr00_5,BCK2,G1/S transition of mitotic cell cycle*,molecular_function unknown,cytoplasm*,viable,0.656353,0,240,0.37791400000000003,0,741,-0.025361,0,2099,0.04075,0,1388
YMR316W,chr00_8,DIA1,pseudohyphal growth*,molecular_function unknown,cytoplasm,viable,0.65584,0,241,0.599647,0,346,-0.1978,0,2666,0.011626,0,1439
YDR490C,chr4_8,PKH1,protein amino acid phosphorylation*,protein kinase activity,cytosol,viable,0.654938,0,242,0.329284,0,889,-0.285616,0,3032,-0.67819,0,4485
YGR086C,chr00_14,PIL1,response to heat,protein kinase inhibitor activity,cytoplasm*,viable,0.654419,0,243,0.270889,0,1113,0.240809,0,955,-0.590492,0,4219
YDL006W,chr4_1,PTC1,response to osmotic stress*,protein phosphatase type 2C activity,cytoplasm*,viable,0.654356,0,244,0.506388,0,465,0,0,1534,0,0,1534
YHL025W,chr00_8,SNF6,chromatin remodeling,general RNA polymerase II transcription factor activity,nucleosome remodeling complex*,viable,0.651521,0,245,1.09999,0,114,0,0,1706,0,0,1706
YBR180W,chr2_4,DTR1,spore wall assembly (sensu Fungi)*,multidrug transporter activity*,prospore membrane,viable,0.651406,0,246,0.636222,0,317,-0.034951,0,2122,0.330932,0,855
YIL033C,chr00_17b,BCY1,response to stress*,cAMP-dependent protein kinase inhibitor activity,cytoplasm*,viable,0.65136,0,247,0.013799,0,2543,0,0,1739,0,0,1739
YCL040W,chr3_1,GLK1,carbohydrate metabolism,glucokinase activity,cytosol,viable,0.651285,0,248,0.342165,0,847,-0.545858,0,4231,0.047348,0,1371
YDR483W,chr4_8,KRE2,O-linked glycosylation*,"alpha-1,2-mannosyltransferase activity",Golgi apparatus,viable,0.649396,0,249,0.254554,0,1188,0.078677,0,1272,-0.165633,0,2542
YMR130W,chr00_9,YMR130W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.648268,0,250,0.051583,0,2330,-0.544784,0,4226,-0.218323,0,2716
YJL217W,chr10_1,YJL217W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.647078,0,251,0.080134,0,2137,0.330457,0,822,-0.012952,0,2073
YOL152W,chr00_17b/chr00_18,FRE7,biological_process unknown,ferric-chelate reductase activity,cellular_component unknown,viable,0.645349,0,252,0.115853,0,1944,0.122641,0,1188,-0.061602,0,2196
YDR266C,chr4_6,YDR266C,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.644275,0,253,-0.130609,0,3356,-0.311434,0,3154,0.041822,0,1383
YDR108W,chr4_4,GSG1,ER to Golgi transport*,molecular_function unknown,TRAPP,viable,0.643638,0,254,0.471425,0,522,0.012874,0,1439,0.805256,0,406
YPR084W,chr16_4,YPR084W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.6432,0,255,-0.060386,0,3021,-0.514278,0,4102,-0.177071,0,2576
YNL273W,chr14_1,TOF1,DNA replication checkpoint*,molecular_function unknown,nuclear chromosome,viable,0.643096,0,256,0.657722,0,293,1.71695,0,104,1.42165,0,146
YBR240C,chr2_4,THI2,positive regulation of transcription from Pol II promoter*,transcriptional activator activity,nucleus,viable,0.642442,0,257,0.434124,0,596,-0.0228,0,2087,0.691012,0,484
YBL031W,chr2_1,SHE1,biological_process unknown,molecular_function unknown,microtubule cytoskeleton,viable,0.6418,0,258,0.668886,0,284,1.89647,0,81,2.33083,0,60
YNL271C,chr14_1,BNI1,establishment of cell polarity (sensu Fungi)*,cytoskeletal regulatory protein binding,bud neck*,viable,0.639905,0,259,0.603941,0,342,1.60289,0,122,1.26955,0,181
YAL027W,chr1_1,YAL027W,biological_process unknown,molecular_function unknown,nucleus,viable,0.638063,0,260,0.7438,0,229,-0.087882,0,2288,0.263238,0,948
YDL021W,chr4_1,GPM2,gluconeogenesis*,NOT phosphoglycerate mutase activity,cytoplasm*,viable,0.637212,0,261,2.01969,1,30,0.608567,0,515,0.187686,0,1084
YAR029W,chr1_1,YAR029W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.636835,0,262,0.346201,0,837,-0.429691,0,3718,-0.600443,0,4258
YHR029C,chr8_1,YHR029C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.635536,0,263,0.558438,0,397,0.284124,0,886,0.1721,0,1110
YGR184C,chr7_5,UBR1,protein monoubiquitination*,ubiquitin-protein ligase activity,proteasome complex (sensu Eukarya),viable,0.634272,0,264,0.491508,0,491,-0.045309,0,2151,0.509305,0,649
YHL027W,chr8_1,RIM101,sporulation (sensu Fungi)*,specific transcriptional repressor activity,nucleus,viable,0.633846,0,265,0.747601,0,228,1.43925,0,152,1.50146,0,131
YDR409W,chr4_7,SIZ1,protein sumoylation,SUMO ligase activity,septin ring,viable,0.630931,0,266,1.11737,0,105,2.06928,0,68,2.96274,1,36
YMR115W,chr00_9,FMP24,biological_process unknown,molecular_function unknown,mitochondrion,viable,0.627369,0,267,0.352015,0,821,0.091524,0,1249,0.067183,0,1318
YNL283C,chr14_1,WSC2,cell wall organization and biogenesis*,transmembrane receptor activity,cytoplasm*,viable,0.626795,0,268,1.03964,0,125,0.481752,0,629,0.952157,0,326
YDR018C,chr4_3,YDR018C,phospholipid biosynthesis,acyltransferase activity,cellular_component unknown,viable,0.626307,0,269,-0.063796,0,3033,-0.409812,0,3627,0.518389,0,642
YDL112W,chr4_2,TRM3,tRNA methylation,tRNA (guanosine) methyltransferase activity,cytoplasm,viable,0.625863,0,270,0.697687,0,257,-0.215555,0,2745,-0.408817,0,3482
YBR073W,chr2_2,RDH54,meiotic recombination*,DNA-dependent ATPase activity*,nucleus,viable,0.624135,0,271,0.650572,0,304,2.03575,0,71,1.83244,0,85
YDR310C,chr4_6,SUM1,chromatin silencing at telomere*,transcriptional repressor activity,nucleus*,viable,0.623003,0,272,0.909406,0,161,1.6758,0,108,0.032685,0,1406
YNL201C,chr14_2,PSY2,biological_process unknown,molecular_function unknown,nucleus,viable,0.622412,0,273,0.853307,0,189,5.42405,1,13,5.2075,1,10
YAL021C,chr1_1,CCR4,regulation of transcription from Pol II promoter*,3'-5'-exoribonuclease activity,cytoplasm*,viable,0.621473,0,274,0.271711,0,1108,1.54649,0,136,1.51024,0,126
YPR008W,chr00_15,HAA1,transcription initiation from Pol II promoter,specific RNA polymerase II transcription factor activity,nucleus,viable,0.621115,0,275,0.039409,0,2413,-0.096787,0,2316,-0.016723,0,2082
YAL024C,chr00_17a,LTE1,regulation of exit from mitosis,guanyl-nucleotide exchange factor activity,bud,NA,0.619512,0,276,0.644176,0,311,2.38749,0,53,1.18348,0,216
YDL218W,chr4_3,YDL218W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.617847,0,277,0.438388,0,588,-0.425223,0,3686,-0.541643,0,4039
YCR075C,chr00_16a,ERS1,L-cystine transport,L-cystine transporter activity,integral to membrane,viable,0.616436,0,278,0.669658,0,282,-0.179368,0,2591,-0.319083,0,3117
YMR052W,chr00_5,FAR3,cell cycle arrest in response to pheromone,molecular_function unknown,endoplasmic reticulum,viable,0.616324,0,279,-0.116739,0,3297,-0.611536,0,4426,-0.507704,0,3890
YDR131C,chr4_4,YDR131C,ubiquitin-dependent protein catabolism,protein binding,ubiquitin ligase complex,viable,0.615515,0,280,0.264237,0,1148,-0.355185,0,3365,-0.393671,0,3427
